epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.5921,4.75991,11.3779,2.71295,0,0,0,0,3.29332,7.38279,1.3763,8e-05,8e-05,8e-05
2,62.9371,2.38644,4.92769,1.13075,0.00067,0.14286,0.00048,0.00019,2.58576,5.42731,0.99492,0.000178218,0.000178218,0.000178218
3,109.138,1.98075,3.00742,0.95549,0.00367,0.78571,0.00789,0.00196,2.08308,4.51427,0.91309,0.000274456,0.000274456,0.000274456
4,147.451,1.91413,2.3192,0.92775,0.00433,0.92857,0.00901,0.00346,2.1106,4.51309,0.90269,0.000368714,0.000368714,0.000368714
5,173.081,1.80309,2.11516,0.89468,0.004,0.85714,0.007,0.00254,1.77381,4.38337,0.87148,0.000460992,0.000460992,0.000460992
6,199.225,1.84777,2.02811,0.88632,0.004,0.85714,0.00641,0.0021,1.82487,4.33864,0.88271,0.00055129,0.00055129,0.00055129
7,226.211,1.77379,1.70775,0.88936,0.00467,1,0.00772,0.0031,1.69419,4.09531,0.87163,0.000639608,0.000639608,0.000639608
8,252.498,1.74672,1.63442,0.87884,0.00467,1,0.00769,0.00375,1.74991,4.13308,0.86698,0.000725946,0.000725946,0.000725946
9,278.902,1.64147,1.55187,0.88728,0.00467,1,0.0072,0.00359,1.69825,3.7531,0.85923,0.000810304,0.000810304,0.000810304
10,305.115,1.66047,1.55157,0.87609,0.00467,1,0.30269,0.16115,1.48271,3.89455,0.82424,0.000892682,0.000892682,0.000892682
11,331.165,1.59629,1.44921,0.86399,0.00467,1,0.437,0.17575,1.54434,3.66355,0.80079,0.00097308,0.00097308,0.00097308
12,357.327,1.57643,1.40315,0.87037,0.00467,1,0.06277,0.03143,1.53585,3.56224,0.81897,0.0010515,0.0010515,0.0010515
13,383.554,1.60996,1.46038,0.86617,0.00467,1,0.04103,0.01772,1.52627,8.91007,0.83183,0.00112794,0.00112794,0.00112794
